0.27749999999999997,EOLID:35822
0.27749999999999997," http://bins.boldsystems.org/index.php/Public_SearchTerms?query=BOLD:AAA0102"
0.27749999999999997,MCZ 235107
0.27749999999999997,TER 1
0.27749999999999997,USNM 11907
0.27749999999999997,LSJU 138
0.27749999999999997,EOLID:8827584
0.27749999999999997,AMNH 28505
0.27749999999999997,EOLID:347438
0.27749999999999997,EOLID:42336
0.27749999999999997,EOLID:1178081
0.27749999999999997,MOR 003
0.27749999999999997,BMNH 6.7.1.32
0.27749999999999997,EOLID:108422
0.27749999999999997,FMNH 49838
0.27749999999999997,USNM PAL 60089
0.27749999999999997,USNM 309515
0.27749999999999997,MCZ 57783
0.27749999999999997,AMNH 274168
0.27749999999999997,MCZ 100126
0.27749999999999997,LABEO SINDENSIS 3
0.27749999999999997,USNM 179601
0.27749999999999997,USNM 223979
0.27749999999999997,EOLID:289548
0.27749999999999997,EOLID:1275821
0.27749999999999997,EOLID:20549927
0.27749999999999997,EOLID:1056566
0.27749999999999997,TENUIS 2
0.27749999999999997,GRAY 1834
0.27749999999999997,EOLID:1010707
0.27749999999999997,FSBC I 32427
0.27749999999999997,EOLID:26621
0.27749999999999997,USNM 98045
0.27749999999999997,EOLID:11017315
0.27749999999999997,MCZ 2151
0.27749999999999997,EOLID:24050
0.27749999999999997,AMNH 1676
0.27749999999999997,EOLID:13138627
0.27749999999999997,FMNH 66510
0.27749999999999997,JML .
0.27749999999999997,EOLID:36537
0.27749999999999997,FMNH 124595
0.27749999999999997,EOLID:206175
0.27749999999999997,EOLID:51032
0.27749999999999997,EOLID:11109530
0.27749999999999997,AMNH 3015
0.27749999999999997,EOLID:11076065
0.27749999999999997,EOLID:10984221
0.27749999999999997,USNM 195385
0.27749999999999997,USNM 4976
0.27749999999999997,AMNH 69578
0.27749999999999997,BOOPS 3.
0.27749999999999997,EOLID:13134555
0.27749999999999997,USNM 573676
0.27749999999999997,MCZ 3006
0.27749999999999997,EOLID:4536529
0.27749999999999997,EOLID:65534
0.27749999999999997,EOLID:796029
0.27749999999999997,MCZ 17670
0.27749999999999997,HASTA 4
0.27749999999999997,EOLID:2668596
0.27749999999999997,EOLID:3088717
0.27749999999999997,MCZ 4117
0.27749999999999997,LEACH 1
0.27749999999999997,USNM 123735
0.27749999999999997,EOLID:964198
0.27749999999999997,EOLID:3126855
0.27749999999999997,EOLID:43259
0.27749999999999997,EOLID:794282
0.27749999999999997,EOLID:14815
0.27749999999999997,AMNH 3999
0.27749999999999997,MVZ 268323
0.27749999999999997,EOLID:4803336
0.27749999999999997,EOLID:35145
0.27749999999999997,EOLID:1018660
0.27749999999999997,MCZ 76079
0.27749999999999997,EOLID:25770
0.27749999999999997,ATIII .
0.27749999999999997,FMNH 127442
0.27749999999999997,FALCULA 6
0.27749999999999997,MCZ 100106
